onset	duration	sample	type	value
0	10	1	classification	BAD
0	10	1	trial	n/a
2.755	n/a	3307	frontpanel trigger	1
2.755	n/a	3307	UPPT001	1
2.755	0	3307	Answer	n/a
2.77	0	3325	LIGHT	n/a
3.73166666666667	n/a	4479	frontpanel trigger	4
3.73166666666667	n/a	4479	UPPT001	4
3.73166666666667	0	4479	gamble	n/a
3.75416666666667	0	4506	LIGHT	n/a
7.73166666666667	n/a	9279	frontpanel trigger	8
7.73166666666667	n/a	9279	UPPT001	8
7.73166666666667	0	9279	win	n/a
7.755	0	9307	LIGHT	n/a
10	10	12001	classification	BAD
10	10	12001	trial	n/a
10.7416666666667	n/a	12891	frontpanel trigger	1
10.7416666666667	n/a	12891	UPPT001	1
10.7416666666667	0	12891	Answer	n/a
10.7566666666667	0	12909	LIGHT	n/a
12.5516666666667	n/a	15063	frontpanel trigger	2
12.5516666666667	n/a	15063	UPPT001	2
12.5516666666667	0	15063	certain	n/a
12.5741666666667	0	15090	LIGHT	n/a
16.5758333333333	0	19892	LIGHT	n/a
18.5408333333333	n/a	22250	frontpanel trigger	32
18.5408333333333	n/a	22250	UPPT001	32
18.5408333333333	0	22250	ratemood	n/a
18.56	0	22273	LIGHT	n/a
20	10	24001	classification	BAD
20	10	24001	classification	BAD_HeadMotion
20	10	24001	trial	n/a
21.5408333333333	n/a	25850	frontpanel trigger	64
21.5408333333333	n/a	25850	UPPT001	64
21.5408333333333	0	25850	slider	n/a
21.5608333333333	0	25874	LIGHT	n/a
28.0658333333333	n/a	33680	frontpanel trigger	1
28.0658333333333	n/a	33680	UPPT001	1
28.0658333333333	0	33680	Answer	n/a
28.08	0	33697	LIGHT	n/a
30	10	36001	classification	BAD
30	10	36001	classification	BAD
30	10	36001	trial	n/a
30.5758333333333	n/a	36692	frontpanel trigger	4
30.5758333333333	n/a	36692	UPPT001	4
30.5758333333333	0	36692	gamble	n/a
30.5975	0	36718	LIGHT	n/a
34.5758333333333	n/a	41492	frontpanel trigger	16
34.5758333333333	n/a	41492	UPPT001	16
34.5758333333333	0	41492	lose	n/a
34.5991666666667	0	41520	LIGHT	n/a
37.5866666666667	n/a	45105	frontpanel trigger	1
37.5866666666667	n/a	45105	UPPT001	1
37.5866666666667	0	45105	Answer	n/a
37.6	0	45121	LIGHT	n/a
40	10	48001	classification	BAD
40	10	48001	trial	n/a
40.0633333333333	n/a	48077	frontpanel trigger	4
40.0633333333333	n/a	48077	UPPT001	4
